Title|Image_1|Image_2|Image_3|Image_4|Cap_2|Cap_3|Cap_4
Accountants and Auditors|https://www.bls.gov/ooh/images/15122.jpg|https://www.bls.gov/ooh/images/1740.jpg|https://www.bls.gov/ooh/images/1741.jpg|https://www.bls.gov/ooh/images/1743.jpg|Accountants and auditors examine financial statements for accuracy and conformance with laws.|Most accountants and auditors work full time.|Most accountants and auditors need at least a bachelor’s degree in accounting or a related field.
Actors|https://www.bls.gov/ooh/images/15292.jpg|https://www.bls.gov/ooh/images/2284.jpg|https://www.bls.gov/ooh/images/2286.jpg|https://www.bls.gov/ooh/images/2287.jpg|Actors must memorize and rehearse their lines.|Some actors wear elaborate makeup and costumes.|Actors may audition for many roles before getting a job.
Actuaries|https://www.bls.gov/ooh/images/15610.jpg|https://www.bls.gov/ooh/images/1827.jpg|https://www.bls.gov/ooh/images/1829.jpg|https://www.bls.gov/ooh/images/3641.jpg|Actuaries produce charts, tables, and reports to explain their calculations.|Actuaries typically work on teams that often include managers and professionals in other fields, such as accounting, underwriting, and finance.|Actuaries need a bachelor’s degree and must pass a series of exams to become certified professionals.
Administrative Services and Facilities Managers|https://www.bls.gov/ooh/images/15556.jpg|https://www.bls.gov/ooh/images/1589.jpg|https://www.bls.gov/ooh/images/1590.jpg|https://www.bls.gov/ooh/images/1591.jpg|Administrative services managers plan, coordinate, and direct a broad range of services that allow organizations to operate efficiently.|Administrative services managers spend much of their day in an office.|In managing workers and coordinating administrative duties, administrative services managers must show leadership ability.
Adult Basic and Secondary Education and ESL Teachers|https://www.bls.gov/ooh/images/15262.jpg|https://www.bls.gov/ooh/images/15263.jpg|https://www.bls.gov/ooh/images/2199.jpg|https://www.bls.gov/ooh/images/2200.jpg|Adult education and ESL teachers use different teaching strategies to meet their students’ needs.|Adult basic and secondary education and ESL teachers often work in community colleges, community-based organizations, and public schools.|Working with students of different abilities and backgrounds can be difficult and teachers must respond with patience when students struggle with material.
Advertising, Promotions, and Marketing Managers|https://www.bls.gov/ooh/images/15558.jpg|https://www.bls.gov/ooh/images/1571.jpg|https://www.bls.gov/ooh/images/1573.jpg|https://www.bls.gov/ooh/images/1574.jpg|Advertising managers can be found in advertising agencies that put together advertising campaigns for clients, in media firms that sell advertising space or time, and in companies that advertise heavily.|Advertising, promotions, and marketing managers may travel to meet with clients or representatives of communications media.|These managers typically have previous work experience in advertising, marketing, promotions, or sales.
Advertising Sales Agents|https://www.bls.gov/ooh/images/15755.jpg|https://www.bls.gov/ooh/images/2764.jpg|https://www.bls.gov/ooh/images/2765.jpg|https://www.bls.gov/ooh/images/2766.jpg|Agents may spend much of their time visiting prospective advertisers and maintaining business with current clients.|Companies generally set monthly sales quotas and place considerable pressure on advertising sales agents to meet those quotas.|Advertising sales agents must actively seek new clients and initiate communication with current clients in order to meet sales quotas.
Aerospace Engineering and Operations Technicians|https://www.bls.gov/ooh/images/15041.jpg|https://www.bls.gov/ooh/images/3257.jpg|https://www.bls.gov/ooh/images/3593.jpg|https://www.bls.gov/ooh/images/3594.jpg|Aerospace engineering and operations technicians work to make sure that testing goes smoothly.|Aerospace engineering and operations technicians install instruments in aircraft and spacecraft.|Aerospace engineering and operations technicians work to prevent the failure of key parts of new aircraft, spacecraft, or missiles.
Aerospace Engineers|https://www.bls.gov/ooh/images/15043.jpg|https://www.bls.gov/ooh/images/1861.jpg|https://www.bls.gov/ooh/images/1862.jpg|https://www.bls.gov/ooh/images/1864.jpg|Aerospace engineers evaluate designs to see that the products meet engineering principles.|Aerospace engineers work in industries that build aircraft and often help oversee construction.|Aerospace engineers use the principles of calculus, trigonometry, and other advanced topics in mathematics for analysis, design, and troubleshooting in their work.
Agricultural and Food Science Technicians|https://www.bls.gov/ooh/images/15498.jpg|https://www.bls.gov/ooh/images/3287.jpg|https://www.bls.gov/ooh/images/3288.jpg|https://www.bls.gov/ooh/images/3290.jpg|Agricultural and food science technicians may keep detailed records and collect samples for analyses.|Agricultural and food science technicians work on farms and ranches, in greenhouses, offices, laboratories, and processing plants.|Agricultural and food science technicians conduct a variety of observations and on-site measurements.
Agricultural and Food Scientists|https://www.bls.gov/ooh/images/15500.jpg|https://www.bls.gov/ooh/images/1968.jpg|https://www.bls.gov/ooh/images/1969.jpg|https://www.bls.gov/ooh/images/1970.jpg|Agricultural and food scientists may observe the production of field crops and farm animals so that they can research solutions to problems.|Agricultural and food scientists spend most of their time in laboratories and offices.|Agricultural and food scientists need at least a bachelor’s degree.
