Title,Image_1,Image_2,Image_3,Image_4,objects,length
Accountants and Auditors,https://www.bls.gov/ooh/images/15122.jpg,https://www.bls.gov/ooh/images/1740.jpg,https://www.bls.gov/ooh/images/1741.jpg,https://www.bls.gov/ooh/images/1743.jpg,"['Sunglasses', 'Human hand', 'Book', 'Table', 'Clothing', 'Desk', 'Parking meter', 'Remote control', 'Toilet', 'Bicycle', 'Fashion accessory', 'Human arm', 'Poster', 'Power plugs and sockets', 'Man', 'Goggles', 'Printer', 'Sports uniform', 'Earrings', 'Auto part', 'Human body', 'Syringe', 'Human hair', 'Tree', 'Human ear', 'Human nose', 'Snack', 'Dice', 'Whiteboard', 'Watch', 'Corded phone', 'Weapon', 'Binoculars', 'Human eye', 'Headphones', 'Telephone', 'Furniture', 'Medical equipment', 'Girl', 'Box', 'Lipstick', 'Land vehicle', 'Kitchen appliance', 'Glasses', 'Computer mouse', 'Woman', 'Shower', 'Tool', 'Door handle', 'Drinking straw', 'Ring binder', 'Tableware', 'Human mouth', 'Suit', 'Drink', 'Chair', 'Shirt', 'Toy', 'Computer monitor', 'Flashlight', 'Human face', 'Human head', 'Pen', 'Musical instrument', 'Hand dryer', 'Mammal', 'Mobile phone', 'Fast food', 'Envelope', 'Tablet computer', 'Picture frame', 'Scissors', 'Bottle', 'Bowling equipment', 'Calculator', 'Light switch', 'Microphone', 'Office supplies', 'Toothbrush', 'Office building', 'Television', 'Suitcase', 'Houseplant', 'Stapler', 'Person', 'Footwear', 'Dress', 'Vehicle', 'Wheel', 'Boy', 'Ipod', 'Food', 'Home appliance', 'Cosmetics', 'Plant', 'Computer keyboard', 'Car', 'Laptop']",98
Actors,https://www.bls.gov/ooh/images/15292.jpg,https://www.bls.gov/ooh/images/2284.jpg,https://www.bls.gov/ooh/images/2286.jpg,https://www.bls.gov/ooh/images/2287.jpg,"['Flag', 'Human ear', 'Book', 'Human nose', 'Human hand', 'Snack', 'Swimwear', 'Table', 'Clothing', 'Tableware', 'Human mouth', 'Skull', 'Tent', 'Shirt', 'Toy', 'Plate', 'Human face', 'Curtain', 'Platter', 'Human head', 'Human leg', 'Musical instrument', 'Dessert', 'Person', 'Footwear', 'Human arm', 'Fashion accessory', 'Doll', 'Human eye', 'Dress', 'Furniture', 'Medical equipment', 'Mammal', 'Girl', 'Boy', 'Jeans', 'Poster', 'Man', 'Food', 'Window', 'Nightstand', 'Baked goods', 'Brassiere', 'Box', 'Bust', 'Cosmetics', 'Picture frame', 'Saucer', 'Auto part', 'Sports equipment', 'Human body', 'Plant', 'Glasses', 'Earrings', 'Lipstick', 'Cake', 'Drawer', 'Dairy', 'Woman', 'Sculpture', 'Human hair', 'Tree', 'Office supplies']",63
Actuaries,https://www.bls.gov/ooh/images/15610.jpg,https://www.bls.gov/ooh/images/1827.jpg,https://www.bls.gov/ooh/images/1829.jpg,https://www.bls.gov/ooh/images/3641.jpg,"['Office building', 'Tie', 'Human hand', 'Book', 'Human nose', 'Television', 'Human ear', 'Suitcase', 'Jacket', 'Table', 'Clothing', 'Tableware', 'Coffee cup', 'Desk', 'Suit', 'Human mouth', 'Chair', 'Luggage and bags', 'Plate', 'Shirt', 'Computer monitor', 'Toy', 'Coat', 'Human face', 'Human head', 'Human leg', 'Person', 'Human arm', 'Fashion accessory', 'Dress', 'Human eye', 'Furniture', 'Medical equipment', 'Mobile phone', 'Mammal', 'Boy', 'Poster', 'Girl', 'Man', 'Tablet computer', 'Necklace', 'Home appliance', 'Picture frame', 'Saucer', 'Auto part', 'Lipstick', 'Human body', 'Mug', 'Handbag', 'Bowling equipment', 'Woman', 'Seat belt', 'Computer keyboard', 'Trousers', 'Human hair', 'Laptop', 'Office supplies']",57
Administrative Services and Facilities Managers,https://www.bls.gov/ooh/images/15556.jpg,https://www.bls.gov/ooh/images/1589.jpg,https://www.bls.gov/ooh/images/1590.jpg,https://www.bls.gov/ooh/images/1591.jpg,"['Flag', 'Tie', 'Sunglasses', 'Human hand', 'Human ear', 'Human nose', 'Door', 'Jacket', 'Suitcase', 'Mirror', 'Table', 'Clothing', 'Tableware', 'Violin', 'Sword', 'Human mouth', 'Suit', 'Chair', 'Skateboard', 'Shirt', 'Coat', 'Luggage and bags', 'Plate', 'Weapon', 'Human face', 'Human head', 'Pen', 'Musical instrument', 'Person', 'Fashion accessory', 'Dress', 'Human arm', 'Human eye', 'Vehicle', 'Furniture', 'Medical equipment', 'Wheel', 'Mammal', 'Girl', 'Boy', 'Poster', 'Man', 'Goggles', 'Window', 'Chopsticks', 'Guitar', 'Cello', 'Sports uniform', 'Picture frame', 'Sports equipment', 'Human body', 'Plant', 'Glasses', 'Land vehicle', 'Woman', 'Rifle', 'Seat belt', 'Shotgun', 'Car', 'Human hair', 'Microphone', 'Airplane', 'Tree', 'Office supplies']",64
Adult Basic and Secondary Education and ESL Teachers,https://www.bls.gov/ooh/images/15262.jpg,https://www.bls.gov/ooh/images/15263.jpg,https://www.bls.gov/ooh/images/2199.jpg,https://www.bls.gov/ooh/images/2200.jpg,"['Office building', 'Human hand', 'Book', 'Human nose', 'Human ear', 'Jacket', 'Shorts', 'Table', 'Clothing', 'Desk', 'Human mouth', 'Suit', 'Chair', 'Shirt', 'Coat', 'Human face', 'Human head', 'Human leg', 'Person', 'Footwear', 'Human arm', 'Fashion accessory', 'Dress', 'Human eye', 'Furniture', 'Medical equipment', 'Mammal', 'Girl', 'Boy', 'Man', 'Office supplies', 'Sports uniform', 'Sports equipment', 'Human body', 'Glasses', 'Woman', 'Human hair', 'Tree', 'Ball']",39
"Advertising, Promotions, and Marketing Managers",https://www.bls.gov/ooh/images/15558.jpg,https://www.bls.gov/ooh/images/1571.jpg,https://www.bls.gov/ooh/images/1573.jpg,https://www.bls.gov/ooh/images/1574.jpg,"['Flag', 'Office building', 'Tie', 'Human hand', 'Book', 'Human nose', 'Human ear', 'Whiteboard', 'Jacket', 'Table', 'Clothing', 'Desk', 'Suit', 'Human mouth', 'Chair', 'Shirt', 'Toy', 'Coat', 'Tripod', 'Computer monitor', 'Human face', 'Human head', 'Human leg', 'Person', 'Footwear', 'Human arm', 'Dress', 'Fashion accessory', 'Human eye', 'Furniture', 'Mammal', 'Girl', 'Boy', 'Poster', 'Towel', 'Man', 'Jeans', 'Building', 'Box', 'Sports uniform', 'Picture frame', 'Human body', 'Plant', 'Glasses', 'Woman', 'Car', 'Trousers', 'Human hair', 'Laptop', 'Tree', 'Office supplies']",51
Advertising Sales Agents,https://www.bls.gov/ooh/images/15755.jpg,https://www.bls.gov/ooh/images/2764.jpg,https://www.bls.gov/ooh/images/2765.jpg,https://www.bls.gov/ooh/images/2766.jpg,"['Office building', 'Tie', 'Human hand', 'Book', 'Human nose', 'Snack', 'Cupboard', 'Tire', 'Table', 'Clothing', 'Tableware', 'Window blind', 'Human mouth', 'Suit', 'Desk', 'Drink', 'Chair', 'Shirt', 'Coat', 'Computer monitor', 'Human face', 'House', 'Cabinetry', 'Human head', 'Musical instrument', 'Person', 'Footwear', 'Human arm', 'Fashion accessory', 'Dress', 'Human eye', 'Furniture', 'Wheel', 'Vehicle', 'Medical equipment', 'Mammal', 'Girl', 'Boy', 'Mobile phone', 'Jeans', 'Man', 'Countertop', 'Food', 'Window', 'Home appliance', 'Building', 'Wine glass', 'Auto part', 'Human body', 'Land vehicle', 'Glasses', 'Plant', 'Bookcase', 'Skyscraper', 'Woman', 'Shelf', 'Car', 'Human hair', 'Microphone', 'Laptop', 'Office supplies']",61
Aerospace Engineering and Operations Technicians,https://www.bls.gov/ooh/images/15041.jpg,https://www.bls.gov/ooh/images/3257.jpg,https://www.bls.gov/ooh/images/3593.jpg,https://www.bls.gov/ooh/images/3594.jpg,"['Office building', 'Ladder', 'Sunglasses', 'Human hand', 'Human ear', 'Human nose', 'Helmet', 'Television', 'Bus', 'Tire', 'Jacket', 'Table', 'Clothing', 'Tableware', 'Kitchen utensil', 'Spatula', 'Balloon', 'Desk', 'Human mouth', 'Suit', 'Helicopter', 'Chair', 'Traffic light', 'Toy', 'Train', 'Computer monitor', 'Human face', 'Camera', 'Human beard', 'Human head', 'Human leg', 'Person', 'Footwear', 'Human arm', 'Fashion accessory', 'Boat', 'Human eye', 'Furniture', 'Vehicle', 'Wheel', 'Mammal', 'Girl', 'Boy', 'Watercraft', 'Jeans', 'Man', 'Goggles', 'Van', 'Fork', 'Home appliance', 'Window', 'Aircraft', 'Chopsticks', 'Spoon', 'Truck', 'Building', 'Bicycle wheel', 'Auto part', 'Human body', 'Land vehicle', 'Glasses', 'Ball', 'Kitchen appliance', 'Bowling equipment', 'Woman', 'Shelf', 'Computer keyboard', 'Car', 'Trousers', 'Human hair', 'Laptop', 'Airplane', 'Office supplies']",73
Aerospace Engineers,https://www.bls.gov/ooh/images/15043.jpg,https://www.bls.gov/ooh/images/1861.jpg,https://www.bls.gov/ooh/images/1862.jpg,https://www.bls.gov/ooh/images/1864.jpg,"['Animal', 'Shower', 'Sunglasses', 'Human hand', 'Book', 'Human nose', 'Human ear', 'Television', 'Bus', 'Tire', 'Jacket', 'Clothing', 'Billboard', 'Human mouth', 'Suit', 'Helicopter', 'Shirt', 'Toy', 'Train', 'Weapon', 'Human face', 'Bicycle', 'Camera', 'Human head', 'Pen', 'Musical instrument', 'Person', 'Fashion accessory', 'Human arm', 'Boat', 'Swimming pool', 'Human eye', 'Dress', 'Vehicle', 'Wheel', 'Medical equipment', 'Taxi', 'Mammal', 'Mobile phone', 'Boy', 'Poster', 'Watercraft', 'Man', 'Goggles', 'Girl', 'Window', 'Aircraft', 'Truck', 'Building', 'Bicycle wheel', 'Picture frame', 'Auto part', 'Land vehicle', 'Fountain', 'Glasses', 'Human body', 'Plant', 'Woman', 'Human foot', 'Computer keyboard', 'Car', 'Human hair', 'Microphone', 'Laptop', 'Airplane', 'Tree', 'Office supplies']",67
Agricultural and Food Science Technicians,https://www.bls.gov/ooh/images/15498.jpg,https://www.bls.gov/ooh/images/3287.jpg,https://www.bls.gov/ooh/images/3288.jpg,https://www.bls.gov/ooh/images/3290.jpg,"['Animal', 'Office building', 'Human hand', 'Jacket', 'Shorts', 'Table', 'Clothing', 'Houseplant', 'Desk', 'Chair', 'Tent', 'Luggage and bags', 'Shirt', 'Toy', 'Human face', 'Flower', 'House', 'Cabinetry', 'Human head', 'Human leg', 'Palm tree', 'Pen', 'Person', 'Footwear', 'Human arm', 'Beehive', 'Fashion accessory', 'Vehicle', 'Furniture', 'Medical equipment', 'Wheel', 'Mammal', 'Girl', 'Boy', 'Poster', 'Jeans', 'Man', 'Sock', 'Mobile phone', 'Fast food', 'Food', 'Glove', 'Window', 'Home appliance', 'Office supplies', 'Building', 'Hat', 'Sports uniform', 'Picture frame', 'Auto part', 'Human body', 'Plant', 'Land vehicle', 'Sun hat', 'Woman', 'Shelf', 'Sculpture', 'Trousers', 'Human hair', 'Laptop', 'Tree', 'Human foot']",62
